,Site,y_j,mu_j,alpha_j,E,SD,y_j_after,Observed,After_RTM
1,502,20,2.36280441,0.145066648,17.44143115,3.861510222,0,-20,-17.44143115
2,504,4,1.672894384,0.193326848,3.550108007,1.692269724,0,-4,-3.550108007
3,505,9,0.888185617,0.311008973,6.477152939,2.112510415,5,-4,-1.477152939
4,506,3,3.304455667,0.108200748,3.032942331,1.64462023,0,-3,-3.032942331
5,507,17,2.463970592,0.139944005,14.96576983,3.587673351,8,-9,-6.965769835
6,508,1,1.379232493,0.225218817,1.085410294,0.917036243,1,0,-0.085410294
7,510,3,0.974056123,0.291585798,2.409263537,1.306428913,1,-2,-1.409263537
8,512,4,1.841304152,0.178806418,3.614011328,1.722731235,0,-4,-3.614011328
9,513,7,5.881050395,0.063821479,6.928586982,2.546840065,6,-1,-0.928586982
10,514,6,1.832675151,0.179497196,5.251976876,2.075876141,9,3,3.74802312419114
11,515,8,3.155718833,0.112725642,7.453925294,2.571706977,4,-4,-3.453925294
12,517,5,1.618050936,0.198578377,4.328418044,1.862495051,2,-3,-2.328418044
13,518,12,2.062681407,0.162739049,10.38281023,2.948410007,2,-10,-8.382810227
14,519,3,5.490343973,0.068054092,3.169478097,1.718657076,1,-2,-2.169478097
15,520,4,2.590738446,0.134014059,3.811139139,1.816698355,5,1,1.18886086090056
16,521,8,4.004014368,0.091017135,7.636296838,2.634627674,3,-5,-4.636296838
17,523,6,3.243295735,0.110016651,5.696716629,2.251662263,8,2,2.30328337069318
18,524,11,2.345805631,0.145964427,9.73679548,2.883672955,10,-1,0.263204519858242
19,526,21,1.400493334,0.222560722,16.63791964,3.596522241,13,-8,-3.637919643
20,529,1,1.763944658,0.18519589,1.141479411,0.96440765,2,1,0.858520588984299
21,530,3,1.999735896,0.167006079,2.832949814,1.53617381,6,3,3.16705018591078
22,531,4,3.214558509,0.110891105,3.912901525,1.865206571,2,-2,-1.912901525
23,533,11,2.62921135,0.132312515,9.892439901,2.929768984,7,-4,-2.892439901
24,534,5,2.927765601,0.120445247,4.750409216,2.044075587,2,-3,-2.750409216
25,536,8,4.715821043,0.078355454,7.742666667,2.671326731,6,-2,-1.742666667
26,538,9,1.922512877,0.172556782,7.778731598,2.537017679,10,1,2.22126840194872
27,539,7,1.635125745,0.196913051,5.943586242,2.184769219,8,1,2.05641375777896
28,540,3,1.506620119,0.210178496,2.686123662,1.456556978,9,6,6.31387633785776
29,541,16,1.762672161,0.185304811,13.36175465,3.299357093,4,-12,-9.361754652
30,543,8,3.021442148,0.117148437,7.416769732,2.558887796,4,-4,-3.416769732
31,544,4,2.868481692,0.122629272,3.861242734,1.840581797,3,-1,-0.861242734
32,545,4,2.144745694,0.157492862,3.70781069,1.767443627,2,-2,-1.70781069
33,546,28,3.315487084,0.107879576,25.33704521,4.754334392,16,-12,-9.33704521
34,547,13,4.800043961,0.077086589,12.36789336,3.378534392,10,-3,-2.367893356
35,548,2,4.161049432,0.087884087,2.189921857,1.413316162,7,5,4.81007814301739
36,549,15,4.01452044,0.090800569,14.0025122,3.568063358,14,-1,-0.002512203
37,550,1,1.383455581,0.224685793,1.086157021,0.917667135,3,2,1.91384297876243
38,552,4,2.514275018,0.137529144,3.795669516,1.809324277,3,-1,-0.795669516
39,553,7,1.463815213,0.215003121,5.809702994,2.135555834,2,-5,-3.809702994
40,554,8,3.204601754,0.111197333,7.466764503,2.576136681,4,-4,-3.466764503
41,557,7,2.628821328,0.132329548,6.421563903,2.360466322,5,-2,-1.421563903
42,558,5,3.831558489,0.0947257,4.88931856,2.103847532,4,-1,-0.88931856
43,562,6,5.639973818,0.066368428,5.976105628,2.362092482,7,1,1.02389437177032
44,563,7,3.361028318,0.106573614,6.612181637,2.430534415,7,0,0.387818362783418
45,564,2,2.007632377,0.166458548,2.001270474,1.291565677,5,3,2.99872952555209
46,565,8,3.360220436,0.106596506,7.505415712,2.589471881,5,-3,-2.505415712
47,566,16,4.809405847,0.076948081,15.13890526,3.738180781,5,-11,-10.13890526
48,567,7,3.297243424,0.108411763,6.59857763,2.425533796,4,-3,-2.59857763
49,569,11,3.067301454,0.115599418,10.08298466,2.986201182,3,-8,-7.082984663
50,570,8,1.189043978,0.252158987,6.28255623,2.167568503,3,-5,-3.28255623
51,571,11,4.17491025,0.087617875,10.40200014,3.08068158,16,5,5.59799985825508
52,572,4,2.920504907,0.120708542,3.869695721,1.844611177,4,0,0.130304278592842
53,573,5,4.492964833,0.081923577,4.958461866,2.133599525,4,-1,-0.958461866
54,574,12,4.057006575,0.089935198,11.28564531,3.204788381,14,2,2.71435468734447
55,576,7,4.156629346,0.087969321,6.749870615,2.481146728,9,2,2.2501293845377
56,578,7,3.179496119,0.11197704,6.572191282,2.415834587,1,-6,-5.572191282
